"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"OSGIN1|29948",4.34121348956016,2.43889649062866,8.34039603644509,3.99163572680587e-13,6.31317106551617e-09,18.9672146103433
"G6PD|2539",3.02049374193749,6.52640681052583,8.12534568393798,1.16776157381946e-12,9.23465852576433e-09,18.4471376962843
"ABCC1|4363",2.42706325341942,6.39895322039644,7.59833676901155,1.58384244682936e-11,8.35001737968438e-08,15.9115154189782
"CBR1|873",2.76356821025996,6.31347065372824,7.52650705411764,2.25279770642817e-11,8.907562131217e-08,15.5696981925067
"PGD|5226",2.49319567983219,7.70513388029247,7.40060556814305,4.16900198036576e-11,1.3187387064293e-07,14.9675950963964
"SLC7A11|23657",6.09174148452174,3.28668176762586,7.33957583981076,5.61285968601085e-11,1.47954981323246e-07,14.5953157152455
"SRXN1|140809",2.91970686271736,6.09099101088929,7.27383944722082,7.72631620192589e-11,1.74570595785228e-07,14.3747676291718
"ADH7|131",10.8488612543179,-1.75524166301364,7.01918536204851,2.64381395529116e-10,5.22682018961062e-07,11.1768123950086
"TALDO1|6888",1.82405307735986,7.76554199020579,6.98000410885399,3.1909848442998e-10,5.60762403304952e-07,12.9900973738476
"ZNF93|81931",-3.37199595464793,2.08217294253407,-6.85538474224557,5.79158474091039e-10,9.15997042622388e-07,12.1737780114924
"TSPAN7|7102",5.48081225934815,2.73288473549741,6.7354763916408,1.02433206177294e-09,1.47280326263644e-06,11.781668693971
"TRIM16L|147166",3.24580277461308,3.23777422855919,6.50713350464074,3.00491219624943e-09,3.96047427465675e-06,10.8412825051354
"ALDH3A1|218",8.46025042579183,2.01909763198535,6.46867612341362,3.59730239263252e-09,4.37653343399045e-06,10.4896524793769
"TKT|7086",2.0326322594252,8.61109826568924,6.45183983683195,3.8916533195055e-09,4.39645635009278e-06,10.5679875857024
"CES1|1066",8.42818224452504,2.35617179484481,6.39333730973885,5.11167639434031e-09,5.38975159019242e-06,10.2293743797999
"C1orf31|388753",1.55606330833712,4.52161361810931,6.37347861461138,5.60623435628589e-09,5.5417626611886e-06,10.2767458607065
"FECH|2235",1.73837926177375,4.61039112084421,6.28494555930048,8.45069294322718e-09,7.86212703471065e-06,9.88004548328209
"ME1|4199",3.55745756573825,3.84617311603039,6.26504955138188,9.26424235918573e-09,8.14018095293786e-06,9.80613852086253
"CTAGE5|4253",1.36083764748258,5.08108483233296,6.14965493582956,1.57517614237155e-08,1.31120978251308e-05,9.26082502788633
"ZNF506|440515",-2.2681745731764,3.97404752716169,-6.09525841318453,2.02017852527423e-08,1.54315945185088e-05,9.06443905973371
"HKDC1|80201",7.04586865347181,-1.36023545763609,6.09215974147134,2.04895981846665e-08,1.54315945185088e-05,7.89967527746522
"ZNF682|91120",-4.07782345112615,1.66034808894011,-6.07641345487371,2.20157417784822e-08,1.58273169076579e-05,8.77246895454145
"MDGA1|266727",4.47682788663335,1.99392547742288,6.05959016962743,2.37700442025746e-08,1.63455225699096e-05,8.7601719018254
"TXN|7295",1.89093947726304,7.59968542646546,6.04360927301237,2.55636933737535e-08,1.68464739333035e-05,8.74156372135242
"GCLM|2730",2.76908368921357,4.6961268941557,5.96489706373855,3.65357930393471e-08,2.31140041084125e-05,8.47195259385067
"RBM19|9904",1.12066892529913,5.38134294675358,5.91101424364569,4.65999907004897e-08,2.83471328045748e-05,8.20200879003003
"SLC47A2|146802",6.39801327207145,-3.16665613559768,5.8618851002197,5.81254347374798e-08,3.31634048078522e-05,6.24044935455612
"ABCA4|24",6.42421298705159,-0.242498071429439,5.85965200998903,5.87111364832994e-08,3.31634048078522e-05,7.43995035535647
"GCLC|2729",2.53120056385255,6.0725042868312,5.63030830984454,1.62895755958201e-07,8.88399750425829e-05,6.96892136110926
"PRDX1|5052",1.27881664059762,8.89682713892198,5.57793238474223,2.05103374258021e-07,0.000108130498908829,6.73997439498328
"ZNF813|126017",-2.87441141383034,2.105507403445,-5.5579455954569,2.23893037864857e-07,0.000113638712330408,6.72530043713011
"DNAJB4|11080",1.88776523185649,3.72503399244607,5.55188049430853,2.29921522165721e-07,0.000113638712330408,6.76321070746528
"ZNF415|55786",-3.37262241015387,2.28497294017412,-5.53105584527725,2.51856637933083e-07,0.000120708017743929,6.63444803190305
"FARP1|10160",-2.51763377015144,6.36606169769126,-5.45827718823831,3.45855372699568e-07,0.000160883781606364,6.23702362668225
"GSTA4|2941",3.08425514573142,3.25522605367689,5.44961314324425,3.59114718592025e-07,0.00016227881112147,6.35019146152311
"JAKMIP3|282973",4.35062582641428,-2.48136964707097,5.42895828983354,3.92765251328143e-07,0.000172554867083497,5.09773847868739
"UGDH|7358",1.9927015221642,5.87284275086365,5.40465493463183,4.36326371516295e-07,0.000186511834916263,6.02805219275999
"SLC9A3R1|9368",1.90651202925027,6.34711831799693,5.38742986891649,4.70029386588172e-07,0.000195631178375751,5.94241026588883
"ZNF702P|79986",-3.88169508530214,2.24361431730407,-5.35475252025157,5.41110509539054e-07,0.000219441123560761,5.9296935774374
"ZNF347|84671",-2.67853111790186,2.28567560888792,-5.32477790961643,6.15495924602433e-07,0.000243367088587802,5.81462066021438
"ZNF83|55769",-2.11871521559965,4.95814578150964,-5.31848984807059,6.32324685061552e-07,0.000243923102900817,5.72521605468212
"AKR1C1|1645",5.9336840360561,5.2756011864171,5.29868639296151,6.88318486375949e-07,0.000259201075726715,5.62222308344615
"MAP2|4133",4.21157432346015,1.71030053278076,5.27560251730273,7.59722883267353e-07,0.000273752607819827,5.57425392050676
"RIT1|6016",1.20668170060223,5.28817224161108,5.2709874699455,7.74843138702726e-07,0.000273752607819827,5.50801679069759
"NAMPT|10135",2.14664872760992,7.19225814251428,5.26976828923898,7.78886403129249e-07,0.000273752607819827,5.44770387854661
"EPHX1|2052",2.17021892425475,6.36539194812335,5.25226275496784,8.39266053289757e-07,0.000288561563018061,5.38503999498498
"TXNRD1|7296",2.5048461902418,6.37770704523676,5.22816987914769,9.29901570407014e-07,0.000312921771011858,5.28631661147181
"GSR|2936",2.34078329579934,5.30755887306148,5.21499395538991,9.83443136172356e-07,0.000324044513368791,5.27857711839213
"CBR3|874",2.78931106924839,3.11528645608521,5.18354433351527,1.12370593922009e-06,0.000362704757851123,5.28441276785061
"GSPT2|23708",-3.21994316978159,2.06811820893208,-5.12890339608669,1.41521661032488e-06,0.000447661318177967,5.03895181417917
"MAFG|4097",1.53083504000269,5.13895050624297,5.05989047894026,1.89036177751745e-06,0.000586234546533647,4.66582365649124
"LRP8|7804",2.84097584685708,3.33762325958397,5.04507031857284,2.01106287022836e-06,0.000611672506837149,4.73642766687656
"ZNF323|64288",2.45240752130482,2.5834940752812,5.00817152284362,2.34514650784882e-06,0.000699827116379942,4.59850116232332
"AKR1B10|57016",8.28801099089127,2.42192647341782,4.9963527101891,2.46316226343699e-06,0.0007214328584911,4.54917431796364
"ZNF254|9534",-2.57003345072209,3.81502477861317,-4.98709908933996,2.5595827788803e-06,0.000736042931468561,4.48508777140651
"TDRKH|11022",-2.20567356032647,3.86441673577766,-4.96921882185818,2.75641429629437e-06,0.000769698234203079,4.41182592992376
"SCGB1A1|7356",6.81272177634354,-3.6419801389221,4.96768666755423,2.7739503888199e-06,0.000769698234203079,3.19019577274391
"TRAF7|84231",0.793812498113757,6.99030127373285,4.94112315011875,3.09582349057241e-06,0.0008387368547368,4.12516439895091
"C16orf63|123811",1.09080397225356,5.09577956211165,4.93855344403925,3.12882362351234e-06,0.0008387368547368,4.18856111889166
"C1orf110|339512",6.40000634538646,-3.25551157629211,4.92936597988648,3.24963289899879e-06,0.000856603232176081,3.21049965674299
"ZNF43|7594",-3.24113518190351,3.50334385846062,-4.91529110304802,3.443560797948e-06,0.000892841927546649,4.22579370966467
"P2RY1|5028",3.45714412943864,0.585234222768369,4.878261440452,4.00911851900702e-06,0.00100474508773582,3.96517428798784
"NAA20|51126",1.09110453915252,6.25626917047345,4.87782663851128,4.01626837087724e-06,0.00100474508773582,3.88777910768221
"ZNF737|100129842",-4.42970106965365,3.48057827353724,-4.87483882058615,4.06573631860726e-06,0.00100474508773582,4.07159346988937
"ALDH3A2|224",2.05159075104099,5.96451348323887,4.82616537857595,4.96015391837028e-06,0.00120691991342991,3.69595947962596
"ZFP82|284406",-2.45878179180366,1.34515121882485,-4.78739179830151,5.80688102034695e-06,0.00139153985178496,3.71391059909935
"SLC47A1|55244",3.75765708209619,-0.471579600984863,4.77033855448664,6.22228444789186e-06,0.00146883060937101,3.42252077934329
"ZNF439|90594",-3.13803165018645,2.38122785887799,-4.76211003639605,6.4329081989035e-06,0.00149621876579203,3.66874329028423
"ADM|133",2.81646116674512,5.20510588841239,4.75636633792756,6.58401380565255e-06,0.00150917046884349,3.47174579796602
"ZNF137|7696",-2.15293794075608,1.39843274103171,-4.75265193040704,6.68356144414957e-06,0.00151010296858099,3.59211060538697
"C3orf59|151963",-1.81982953298777,3.56508765815586,-4.7180180307063,7.68489270427313e-06,0.00169132664788515,3.47074063051834
"DLD|1738",1.02288870849699,6.51223752161723,4.71754547505818,7.69951433028141e-06,0.00169132664788515,3.26037736904828
"VSIG10L|147645",3.32521766467259,2.41802675819306,4.71234182515246,7.86231921132469e-06,0.00170343069378509,3.48560598346246
"TSKU|25987",1.85958703795621,6.36558498426651,4.66887425464656,9.35917394897709e-06,0.00199656307200083,3.07737268484346
"ZNF280C|55609",1.4164847458116,2.50724812644302,4.66542607925974,9.48908841429351e-06,0.00199656307200083,3.31375266458937
"LYNX1|66004",4.05066400755036,3.19983315741245,4.65870624206491,9.74730865400113e-06,0.00199656307200083,3.27136719591284
"ZNF91|7644",-2.3095873772834,3.85079953781608,-4.65862266405894,9.75056276438178e-06,0.00199656307200083,3.22498355801617
"PTPRM|5797",-2.4519351223005,5.36481468012073,-4.65617122189468,9.84647949014066e-06,0.00199656307200083,3.0769138643692
"SPP1|6696",3.89232953250942,6.04660402873646,4.64844040801766,1.01549879049119e-05,0.00203305428739349,3.00937306872161
"ZNF826|664701",-4.01970539800395,0.0896239926876277,-4.64350089398362,1.03569890675885e-05,0.00204757673866225,3.07635503379064
"TNFRSF18|8784",3.62487125654847,1.47828900262292,4.58686093436033,1.29702187034881e-05,0.00253176186449053,3.00398048695008
"RNF141|50862",1.15117983340834,5.43945733613054,4.58383969102499,1.31262312144805e-05,0.00253176186449053,2.79836892944963
"ZNF429|353088",-2.38518014422599,2.01115697355024,-4.55462793198182,1.4731447679656e-05,0.00274052491000026,2.90828682977639
"TMTC3|160418",1.2946648378863,5.63302444666361,4.55212327463508,1.48776001721606e-05,0.00274052491000026,2.6665679578425
"ADH5|128",1.28698374852447,7.11096813392636,4.55193379834613,1.48887134521207e-05,0.00274052491000026,2.62508142741436
"CYP4F3|4051",5.6366184636186,0.77668962013611,4.55171271307834,1.49016908358638e-05,0.00274052491000026,2.834006603265
"ENPP4|22875",-2.74645777723621,3.29345521034436,-4.52034128713127,1.68584548835452e-05,0.00306475083262243,2.75721460517053
"NQO1|1728",2.97017090251916,7.04585469847915,4.51416794029104,1.72717500778977e-05,0.00310420453672761,2.48413368458095
"PTGR1|22949",2.8024211014152,5.57436869055489,4.48793440735957,1.91399567092845e-05,0.00340132084622522,2.43112680423288
"WASF2|10163",1.31507077567682,7.382159674832,4.48216405607485,1.95763515159546e-05,0.00344021750640376,2.3641101599839
"WNT3A|89780",4.56404943216864,-2.3167601309083,4.47731584287655,1.99504273965861e-05,0.00346742812861985,2.09242636674106
"PLXNA3|55558",-1.58051392994925,5.62573030369632,-4.46824791106982,2.06687113281601e-05,0.00353402962237824,2.35489804214595
"CABYR|26256",2.98772688628266,1.97303185039046,4.46686380674644,2.07805231968371e-05,0.00353402962237824,2.59652232364276
"ACE|1636",-1.94808451009063,3.8332652966596,-4.4588408668643,2.14402412020041e-05,0.00360743462607337,2.48840735057736
"AKAP12|9590",-2.72835684355576,4.84390777417571,-4.44522858059327,2.26061158817846e-05,0.00376356135564532,2.33406313694639
"FRMD8|83786",1.11679078743467,6.23233931664666,4.43521156167335,2.35029252705933e-05,0.00387210693833024,2.20495111240215
"EPT1|85465",1.13987198541177,6.12192292864022,4.42190954518336,2.4747075331926e-05,0.00403504890154373,2.15971086556736
"ZNF160|90338",-1.56834583995245,4.6255116096992,-4.41537388558885,2.53814236155237e-05,0.0040962509786033,2.24693652701618
"WNT5A|7474",3.27835362836876,5.28156452234364,4.40666308310724,2.6251332684469e-05,0.00419384927007639,2.15311754229145
"INSR|3643",-1.42271108246823,6.04270300870438,-4.39793543480071,2.71517481071322e-05,0.00429432048062403,2.07461515768686
"FAM195B|348262",-1.44979883084721,6.21859186607877,-4.38740880218519,2.82774482395654e-05,0.00442808040947492,2.02981902734127
"WDFY2|115825",1.4020168624804,3.3446804884734,4.38457114897326,2.85885251269761e-05,0.00443290307262994,2.26347234689803
"ZNF701|55762",-1.71868596078898,2.29962767161713,-4.37758387969694,2.9368639385662e-05,0.00450965437401582,2.28397739933036
"NHSL1|57224",1.45479959782747,4.62052064689005,4.36485713599889,3.08426264247257e-05,0.00469045172628329,2.06383259417799
"ZNF85|7639",-2.42089296193784,2.21104597416686,-4.35364080011673,3.22006116421088e-05,0.00485033213077707,2.20115701825305
"C14orf126|112487",1.13418761204976,3.86001391609965,4.34208057553308,3.3660487085595e-05,0.00502239871458273,2.06414829353638
"ZNF253|56242",-2.03040002479868,2.86282716571483,-4.3208848108751,3.65045470929157e-05,0.00539584968992107,2.06864225036623
"ZNF625|90589",-2.62578975367584,-0.498661556483112,-4.2977568616216,3.9871828111941e-05,0.00583146115038057,1.85242704700816
"SAMD5|389432",2.88333296942148,1.12253090724133,4.2956762852771,4.01890026170639e-05,0.00583146115038057,1.98192321752063
"ZNF14|7561",-1.44256248097619,2.85501322793928,-4.27774816638039,4.30246028191309e-05,0.0061603025538143,1.91819762446027
"PRICKLE2|166336",-2.08813593452018,3.53382251414883,-4.27646795518486,4.32342933405025e-05,0.0061603025538143,1.86342730057428
"SESN3|143686",2.65739973824637,1.67615743587363,4.27001867916563,4.43056936641663e-05,0.0062565968838612,1.9112877724785
"MEIS3P1|4213",-1.97963496246916,3.68976893389271,-4.25864278138456,4.62581382792389e-05,0.00647450190287118,1.78530944420508
"SVIP|258010",-2.05176195935738,3.43941443717366,-4.25499026265172,4.69023929892032e-05,0.00650708989050209,1.79660660354988
"CYP4F11|57834",5.82042985145703,2.03521902330534,4.23391459720539,5.0791875006902e-05,0.00698542865312315,1.79021288634594
"SLC3A2|6520",1.32405727980193,7.65107135544478,4.22910212234697,5.17225628864429e-05,0.0070521039190688,1.44275476123854
"DGKG|1608",2.91853553107203,0.409354203993696,4.22596626558825,5.23378104618102e-05,0.0070749983783247,1.71015184941398
"DAPK1|1612",-3.17965371711284,5.87578499936656,-4.21586671964392,5.43675168969395e-05,0.00728709023086436,1.42476382286716
"PRMT3|10196",1.0603327920813,4.15373485606996,4.20860397222867,5.5873668344919e-05,0.00736952807879796,1.55827788595013
"TMPRSS11D|9407",6.59987640712067,-2.52364717868933,4.20840982021358,5.59144770773745e-05,0.00736952807879796,1.24742316564738
"UCP2|7351",-2.55266798226813,6.78608852377124,-4.17778736210245,6.27225031493276e-05,0.00808951087970237,1.2631817101065
"HIAT1|64645",0.667442342676638,5.86407624902837,4.17662876105248,6.2995121764177e-05,0.00808951087970237,1.28621005510371
"UGT1A7|54577",6.10211563574741,-2.49526504271093,4.1749314277026,6.33965602012687e-05,0.00808951087970237,1.15594255221821
"AKR1C3|8644",4.57165185099419,5.64268459742253,4.17481968487902,6.34230746764728e-05,0.00808951087970237,1.29277750887996
"ZNF746|155061",0.813841002522412,4.56924024119967,4.17046191198464,6.44654409266762e-05,0.00815668330957048,1.37646127358699
