"x"
"UBC|7316"
"C11orf95|65998"
"C17orf81|23587"
"ANKMY2|57037"
"IQCD|115811"
"HSPA13|6782"
"MGMT|4255"
"CD72|971"
"CEACAM19|56971"
"MRPL11|65003"
"FUNDC2|65991"
"MAP6|4135"
"VPS54|51542"
"TMED4|222068"
"CCDC136|64753"
"ARSJ|79642"
"PPIAL4C|653598"
"PAK1|5058"
"FAM157A|728262"
"ZC3H12C|85463"
"ACP1|52"
"KAZALD1|81621"
"CHCHD6|84303"
"FUNDC1|139341"
"XPA|7507"
"ACTL6A|86"
"B4GALNT1|2583"
"RUFY2|55680"
"EFR3A|23167"
"RDH13|112724"
"RRP9|9136"
"EDIL3|10085"
"TUBB|203068"
"TNNC1|7134"
"F2RL2|2151"
"SLC12A2|6558"
"TRAFD1|10906"
"ANKRD9|122416"
"FAIM2|23017"
"BAX|581"
"AMBRA1|55626"
"PQBP1|10084"
"LOC157381|157381"
"RAN|5901"
"MAGOHB|55110"
"MUTED|63915"
"SLC17A7|57030"
"MRPL54|116541"
"DIAPH3|81624"
"C17orf61|254863"
"KIAA0319|9856"
"ABHD8|79575"
"PCDHB12|56124"
"RNF150|57484"
"PDPK1|5170"
"TNFRSF8|943"
"RPL24|6152"
"CDC45|8318"
"SH2D3A|10045"
"SHANK3|85358"
"APCDD1L|164284"
"MARVELD2|153562"
"AKT2|208"
"ENC1|8507"
"ING4|51147"
"EGR4|1961"
"OPN3|23596"
"RGL4|266747"
"ECHDC1|55862"
"SGSH|6448"
"SELL|6402"
"PDXP|57026"
"ANKAR|150709"
"ESCO2|157570"
"TMEM56|148534"
"TMEM205|374882"
"C6orf1|221491"
"LYPLA2P1|653639"
"GXYLT1|283464"
"WDR66|144406"
"GATC|283459"
"DCLRE1A|9937"
"PDZRN3|23024"
"EIF2B1|1967"
"BET1|10282"
"MIB1|57534"
"C21orf63|59271"
"PRRG4|79056"
"EMG1|10436"
"ROBLD3|28956"
"TSPAN33|340348"
"PREX1|57580"
"FBXL14|144699"
"UROS|7390"
"FITM2|128486"
"UGT1A7|54577"
"SH2B2|10603"
"ZNF280C|55609"
"EPN3|55040"
"HOXB5|3215"
"C11orf57|55216"
"TMED3|23423"
"CXorf36|79742"
"N4BP2L1|90634"
"KRBA1|84626"
"CCDC121|79635"
"RPL18A|6142"
"SYNJ2BP|55333"
"KRIT1|889"
"SEPT6|23157"
"C12orf62|84987"
"FAM134B|54463"
"RIBC2|26150"
"HNF1A|6927"
"TUBGCP3|10426"
"FAM63A|55793"
"WDSUB1|151525"
"AMPD3|272"
"RBM11|54033"
"DHX30|22907"
"GPR78|27201"
"MALAT1|378938"
"GINS2|51659"
"LRBA|987"
"ALDH1L1|10840"
"PARK2|5071"
"EEF1B2|1933"
"DLEU1|10301"
"OBSCN|84033"
"PARD3B|117583"
"FLNB|2317"
"FUT1|2523"
"DTD1|92675"
"ASB5|140458"
"FAM168B|130074"
"WDR34|89891"
"TXNDC5|81567"
"NEK4|6787"
"DENND4A|10260"
"PRKCDBP|112464"
"TTC7A|57217"
"SLC35D2|11046"
"ARID1B|57492"
"BCL2L14|79370"
"ZKSCAN1|7586"
"IVNS1ABP|10625"
"CD55|1604"
"CYP2E1|1571"
"AASDHPPT|60496"
"NCRNA00116|205251"
"ZDHHC3|51304"
"ZSCAN2|54993"
"NR3C1|2908"
"IQCC|55721"
"SAP30L|79685"
"UBXN2B|137886"
"UBE3C|9690"
"ELOVL5|60481"
"GOT1|2805"
"HNRNPUL2|221092"
"MAPK8IP2|23542"
"C15orf42|90381"
"CDK17|5128"
"PLAC2|257000"
"MESDC1|59274"
"ATP5O|539"
"METTL9|51108"
"RAB28|9364"
"EME2|197342"
"SDHAF2|54949"
"SFRS12|140890"
"KHDC1|80759"
"XPO4|64328"
"CRLS1|54675"
"C15orf40|123207"
"C1QTNF2|114898"
"CDKN3|1033"
"LOC100130093|100130093"
"ZNF71|58491"
"HORMAD1|84072"
"CNNM4|26504"
"DECR2|26063"
"NDUFS2|4720"
"ACAT2|39"
"VCAM1|7412"
"CYP27A1|1593"
"ADIPOR1|51094"
"HNRNPM|4670"
"KIFAP3|22920"
"BLVRA|644"
"ARHGEF6|9459"
"BDNFOS|497258"
"GLYCTK|132158"
"ZNF790|388536"
"EPS15L1|58513"
"ZNF480|147657"
"BMP6|654"
"SLC24A1|9187"
"GPNMB|10457"
"CSMD1|64478"
"TOP3A|7156"
"MRPS36|92259"
"PMS2|5395"
"ZC3HAV1L|92092"
"AURKA|6790"
"TMEM189|387521"
"FLJ10038|55056"
"FAM175B|23172"
"DUSP8|1850"
"DNALI1|7802"
"TBCEL|219899"
"NPR2|4882"
"PDE4C|5143"
"C3orf36|80111"
"NDUFA9|4704"
"TBC1D10B|26000"
"ODF2L|57489"
"HOXC9|3225"
"DHRS7B|25979"
"TMEM99|147184"
"CLPB|81570"
"LPAR3|23566"
"FASTKD1|79675"
"ALOX5AP|241"
"FST|10468"
"ATP11B|23200"
"SENP1|29843"
"ITFG1|81533"
"GNG4|2786"
"ZFYVE28|57732"
"TOMM5|401505"
"NUP155|9631"
"GALK1|2584"
"DHX33|56919"
"CFLAR|8837"
"SPHAR|10638"
"TBC1D2B|23102"
"SLC25A16|8034"
"LACE1|246269"
"MAP4K1|11184"
"RNASEH2B|79621"
"UNC5CL|222643"
"ZNF384|171017"
"JAK1|3716"
"SMYD2|56950"
"TMED1|11018"
"RDH14|57665"
"ITGB6|3694"
"SEC31A|22872"
"SRL|6345"
"MED10|84246"
"IL32|9235"
"FLG|2312"
"UST|10090"
"LETM1|3954"
"P2RX5|5026"
"C17orf39|79018"
"NOSTRIN|115677"
"RMND1|55005"
"HN1|51155"
"CNO|55330"
"C19orf76|199800"
"PLXNC1|10154"
"KCND1|3750"
"ZNF662|389114"
"C19orf22|91300"
"LOC286467|286467"
"SLC23A1|9963"
"ZBTB37|84614"
"CREBL2|1389"
"NFYA|4800"
"MAFK|7975"
"MKKS|8195"
"EHMT2|10919"
"POLDIP3|84271"
"VPS41|27072"
"SNRPD1|6632"
"FILIP1|27145"
"BAIAP2|10458"
"RELA|5970"
"PPP4R2|151987"
"MTR|4548"
"ZNF169|169841"
"MAP7D2|256714"
"HLA-DQB2|3120"
"PCBP3|54039"
"CCNA2|890"
"UMPS|7372"
"FLT4|2324"
"DCBLD1|285761"
"HFE|3077"
"DDX39|10212"
"TM4SF19|116211"
"TBC1D17|79735"
"POLR2F|5435"
"MRPL45|84311"
"PIK3CA|5290"
"CLEC3B|7123"
"FAM120C|54954"
"MED21|9412"
"BBOX1|8424"
"FNDC4|64838"
"VCAN|1462"
"PAIP2B|400961"
"TRIM52|84851"
"TAS1R3|83756"
"ZNF193|7746"
"MEN1|4221"
"C11orf80|79703"
"RBM22|55696"
"ZNF643|65243"
"TBCB|1155"
"CCDC28B|79140"
"KRT31|3881"
"ASB13|79754"
"NDUFB3|4709"
"HSPB1|3315"
"SLC16A13|201232"
"PPP2R1B|5519"
"PSME1|5720"
"CD34|947"
"C3orf38|285237"
"LOC729603|729603"
"ATP6V1A|523"
"DDX20|11218"
"TOP1MT|116447"
"PACSIN3|29763"
"TMEM64|169200"
"PAOX|196743"
"C3orf39|84892"
"CXCR7|57007"
"GYPC|2995"
"MAF1|84232"
"MME|4311"
"SMG5|23381"
"RASEF|158158"
"HBXIP|10542"
"NPAT|4863"
"SAPS1|22870"
