"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CES1|1066",6.45519919145195,2.30056103671043,6.90144157334073,2.97048177987729e-11,4.63929844381235e-07,14.803092396062
"G6PD|2539",2.09176118342231,6.85240041034519,6.75200255059552,7.33165173445457e-11,5.72528683943558e-07,14.3097770670465
"CES4|51716",5.79408056017569,-3.08661816847268,6.33617946637911,8.41124534641283e-10,4.37889432734252e-06,8.61925862273285
"TALDO1|6888",1.25559660534786,7.60426287837995,6.26227595355588,1.28266380033511e-09,5.00816080840843e-06,11.5679393703767
"IDH1|3417",1.24249720023296,6.35944672778007,5.91560396490539,8.84301268690544e-09,2.76220344288178e-05,9.71860635199767
"OSGIN1|29948",3.07667224917856,3.20719540818479,5.85846257568903,1.20615729743639e-08,2.9636948297028e-05,9.41735204561528
"SRXN1|140809",1.87185630950128,6.53546544239581,5.81591022718963,1.5175904922667e-08,2.9636948297028e-05,9.202281136239
"SOST|50964",4.61745208760877,-1.00627564987541,5.80664662486473,1.59513707310899e-08,2.9636948297028e-05,7.92427340839881
"MAP2|4133",3.21422824002632,3.19717653836091,5.79393700269954,1.70785334020522e-08,2.9636948297028e-05,9.09275994193115
"FTL|2512",1.69573582816346,10.4311469684651,5.57674926620906,5.38985851802928e-08,8.41788103345814e-05,8.03206585186365
"KIAA0319|9856",4.0260586360989,-1.81959100530536,5.4792087576343,8.93347878193329e-08,0.000126839156014758,6.10161638539115
"TXNRD1|7296",2.02157261242394,6.66103639684628,5.41140673943718,1.26419620010856e-07,0.000152726930039554,7.18198906383332
"PTGR1|22949",2.13423816317775,5.33762297064958,5.41031374360798,1.27125758132553e-07,0.000152726930039554,7.19668738812755
"PGD|5226",1.81328941264414,7.5177360838238,5.39319683537341,1.38697516119821e-07,0.000154726986197097,7.09905546839395
"CYP4F3|4051",4.52891689608577,1.14038882202587,5.32592002065128,1.94932280998436e-07,0.000202963490975572,6.59101934214745
"PRDM16|63976",2.33587741651669,-0.0563536855381789,5.30501856765323,2.16528864803114e-07,0.00021135923815594,6.18746278283345
"TKT|7086",1.25409293294212,8.29949998963639,5.22970425037299,3.15349622538212e-07,0.000289713553223635,6.3299486173688
"EPHX1|2052",1.82521387850429,6.07011041615346,5.21330929924767,3.42055149222112e-07,0.000296789851141719,6.24037018425329
"RIT1|6016",1.11116346989013,5.12510187236761,5.14100070476697,4.88398751209419e-07,0.000400966622079599,5.92931986803654
